pferrari_id,city,data,Location_1,value_pferrari,giardini_id,location_2,value_giardini
4000022,MODENA,2025-01-01,PARCO FERRARI,37,4000002,VIA GIARDINI,50
4000022,MODENA,2025-01-02,PARCO FERRARI,69,4000002,VIA GIARDINI,83
4000022,MODENA,2025-01-03,PARCO FERRARI,71,4000002,VIA GIARDINI,75
4000022,MODENA,2025-01-04,PARCO FERRARI,77,4000002,VIA GIARDINI,83
4000022,MODENA,2025-01-05,PARCO FERRARI,49,4000002,VIA GIARDINI,55
4000022,MODENA,2025-01-06,PARCO FERRARI,56,4000002,VIA GIARDINI,55
4000022,MODENA,2025-01-07,PARCO FERRARI,48,4000002,VIA GIARDINI,53
4000022,MODENA,2025-01-08,PARCO FERRARI,31,4000002,VIA GIARDINI,32
4000022,MODENA,2025-01-10,PARCO FERRARI,24,4000002,VIA GIARDINI,35
4000022,MODENA,2025-01-11,PARCO FERRARI,18,4000002,VIA GIARDINI,28
4000022,MODENA,2025-01-12,PARCO FERRARI,28,4000002,VIA GIARDINI,32
4000022,MODENA,2025-01-13,PARCO FERRARI,32,4000002,VIA GIARDINI,40
4000022,MODENA,2025-01-14,PARCO FERRARI,33,4000002,VIA GIARDINI,35
4000022,MODENA,2025-01-15,PARCO FERRARI,32,4000002,VIA GIARDINI,38
4000022,MODENA,2025-01-16,PARCO FERRARI,43,4000002,VIA GIARDINI,37
4000022,MODENA,2025-01-17,PARCO FERRARI,59,4000002,VIA GIARDINI,46
4000022,MODENA,2025-01-18,PARCO FERRARI,35,4000002,VIA GIARDINI,66
4000022,MODENA,2025-01-19,PARCO FERRARI,39,4000002,VIA GIARDINI,43
4000022,MODENA,2025-01-20,PARCO FERRARI,36,4000002,VIA GIARDINI,42
4000022,MODENA,2025-01-21,PARCO FERRARI,48,4000002,VIA GIARDINI,54
4000022,MODENA,2025-01-22,PARCO FERRARI,46,4000002,VIA GIARDINI,52
4000022,MODENA,2025-01-23,PARCO FERRARI,33,4000002,VIA GIARDINI,35
4000022,MODENA,2025-01-24,PARCO FERRARI,23,4000002,VIA GIARDINI,26
4000022,MODENA,2025-01-25,PARCO FERRARI,29,4000002,VIA GIARDINI,40
4000022,MODENA,2025-01-26,PARCO FERRARI,42,4000002,VIA GIARDINI,51
4000022,MODENA,2025-01-27,PARCO FERRARI,19,4000002,VIA GIARDINI,25
4000022,MODENA,2025-01-28,PARCO FERRARI,28,4000002,VIA GIARDINI,37
4000022,MODENA,2025-01-29,PARCO FERRARI,12,4000002,VIA GIARDINI,15
4000022,MODENA,2025-01-30,PARCO FERRARI,30,4000002,VIA GIARDINI,40
4000022,MODENA,2025-01-31,PARCO FERRARI,42,4000002,VIA GIARDINI,46
4000022,MODENA,2025-02-01,PARCO FERRARI,48,4000002,VIA GIARDINI,53
4000022,MODENA,2025-02-02,PARCO FERRARI,25,4000002,VIA GIARDINI,30
4000022,MODENA,2025-02-03,PARCO FERRARI,35,4000002,VIA GIARDINI,37
4000022,MODENA,2025-02-04,PARCO FERRARI,35,4000002,VIA GIARDINI,42
4000022,MODENA,2025-02-05,PARCO FERRARI,37,4000002,VIA GIARDINI,49
4000022,MODENA,2025-02-06,PARCO FERRARI,46,4000002,VIA GIARDINI,52
4000022,MODENA,2025-02-07,PARCO FERRARI,51,4000002,VIA GIARDINI,64
4000022,MODENA,2025-02-08,PARCO FERRARI,47,4000002,VIA GIARDINI,53
4000022,MODENA,2025-02-09,PARCO FERRARI,50,4000002,VIA GIARDINI,56
4000022,MODENA,2025-02-10,PARCO FERRARI,20,4000002,VIA GIARDINI,22
4000022,MODENA,2025-02-11,PARCO FERRARI,28,4000002,VIA GIARDINI,37
4000022,MODENA,2025-02-12,PARCO FERRARI,35,4000002,VIA GIARDINI,45
4000022,MODENA,2025-02-13,PARCO FERRARI,36,4000002,VIA GIARDINI,38
4000022,MODENA,2025-02-14,PARCO FERRARI,42,4000002,VIA GIARDINI,52
4000022,MODENA,2025-02-15,PARCO FERRARI,22,4000002,VIA GIARDINI,28
4000022,MODENA,2025-02-16,PARCO FERRARI,16,4000002,VIA GIARDINI,27
4000022,MODENA,2025-02-17,PARCO FERRARI,23,4000002,VIA GIARDINI,30
4000022,MODENA,2025-02-18,PARCO FERRARI,24,4000002,VIA GIARDINI,30
4000022,MODENA,2025-02-19,PARCO FERRARI,30,4000002,VIA GIARDINI,33
4000022,MODENA,2025-02-20,PARCO FERRARI,25,4000002,VIA GIARDINI,30
4000022,MODENA,2025-02-21,PARCO FERRARI,43,4000002,VIA GIARDINI,58
4000022,MODENA,2025-02-22,PARCO FERRARI,65,4000002,VIA GIARDINI,76
4000022,MODENA,2025-02-23,PARCO FERRARI,72,4000002,VIA GIARDINI,83
4000022,MODENA,2025-02-24,PARCO FERRARI,94,4000002,VIA GIARDINI,106
4000022,MODENA,2025-02-25,PARCO FERRARI,110,4000002,VIA GIARDINI,117
4000022,MODENA,2025-02-26,PARCO FERRARI,76,4000002,VIA GIARDINI,85
4000022,MODENA,2025-02-27,PARCO FERRARI,28,4000002,VIA GIARDINI,28
4000022,MODENA,2025-02-28,PARCO FERRARI,11,4000002,VIA GIARDINI,21
4000022,MODENA,2025-03-01,PARCO FERRARI,37,4000002,VIA GIARDINI,41
4000022,MODENA,2025-03-02,PARCO FERRARI,21,4000002,VIA GIARDINI,22
4000022,MODENA,2025-03-03,PARCO FERRARI,20,4000002,VIA GIARDINI,22
4000022,MODENA,2025-03-04,PARCO FERRARI,21,4000002,VIA GIARDINI,23
4000022,MODENA,2025-03-05,PARCO FERRARI,29,4000002,VIA GIARDINI,32
4000022,MODENA,2025-03-06,PARCO FERRARI,32,4000002,VIA GIARDINI,37
4000022,MODENA,2025-03-07,PARCO FERRARI,37,4000002,VIA GIARDINI,41
4000022,MODENA,2025-03-08,PARCO FERRARI,35,4000002,VIA GIARDINI,41
4000022,MODENA,2025-03-09,PARCO FERRARI,39,4000002,VIA GIARDINI,41
4000022,MODENA,2025-03-10,PARCO FERRARI,38,4000002,VIA GIARDINI,49
4000022,MODENA,2025-03-11,PARCO FERRARI,24,4000002,VIA GIARDINI,31
4000022,MODENA,2025-03-12,PARCO FERRARI,17,4000002,VIA GIARDINI,23
4000022,MODENA,2025-03-13,PARCO FERRARI,16,4000002,VIA GIARDINI,19
4000022,MODENA,2025-03-14,PARCO FERRARI,6,4000002,VIA GIARDINI,6
4000022,MODENA,2025-03-15,PARCO FERRARI,11,4000002,VIA GIARDINI,13
4000022,MODENA,2025-03-16,PARCO FERRARI,18,4000002,VIA GIARDINI,21
4000022,MODENA,2025-03-17,PARCO FERRARI,15,4000002,VIA GIARDINI,12
4000022,MODENA,2025-03-18,PARCO FERRARI,17,4000002,VIA GIARDINI,19
4000022,MODENA,2025-03-19,PARCO FERRARI,13,4000002,VIA GIARDINI,16
4000022,MODENA,2025-03-20,PARCO FERRARI,22,4000002,VIA GIARDINI,24
4000022,MODENA,2025-03-21,PARCO FERRARI,29,4000002,VIA GIARDINI,37
4000022,MODENA,2025-03-22,PARCO FERRARI,39,4000002,VIA GIARDINI,49
4000022,MODENA,2025-03-23,PARCO FERRARI,22,4000002,VIA GIARDINI,40
4000022,MODENA,2025-03-24,PARCO FERRARI,15,4000002,VIA GIARDINI,20
4000022,MODENA,2025-03-25,PARCO FERRARI,21,4000002,VIA GIARDINI,27
4000022,MODENA,2025-03-26,PARCO FERRARI,12,4000002,VIA GIARDINI,16
4000022,MODENA,2025-03-27,PARCO FERRARI,20,4000002,VIA GIARDINI,27
4000022,MODENA,2025-03-28,PARCO FERRARI,14,4000002,VIA GIARDINI,18
4000022,MODENA,2025-03-28,PARCO FERRARI,0,4000002,VIA GIARDINI,19
4000022,MODENA,2025-03-30,PARCO FERRARI,18,4000002,VIA GIARDINI,16
4000022,MODENA,2025-03-31,PARCO FERRARI,11,4000002,VIA GIARDINI,10
